Fri Nov  6 14:35:38 2020 Fold 4, Epoch 2, lr: 0.0003000, train loss: 0.16116, valid loss: 0.05813, Acc: 98.1722, AUC: 0.999418.
Fri Nov  6 14:44:31 2020 Fold 4, Epoch 3, lr: 0.0002991, train loss: 0.09993, valid loss: 0.01559, Acc: 99.4728, AUC: 0.999968.
Fri Nov  6 14:53:23 2020 Fold 4, Epoch 4, lr: 0.0002965, train loss: 0.06825, valid loss: 0.05543, Acc: 97.2935, AUC: 0.999954.
Fri Nov  6 15:02:15 2020 Fold 4, Epoch 5, lr: 0.0002921, train loss: 0.07187, valid loss: 0.01284, Acc: 99.6485, AUC: 0.999979.
Fri Nov  6 15:11:07 2020 Fold 4, Epoch 6, lr: 0.0002861, train loss: 0.06338, valid loss: 0.00133, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 15:20:00 2020 Fold 4, Epoch 7, lr: 0.0002785, train loss: 0.06059, valid loss: 0.01484, Acc: 99.8946, AUC: 0.999999.
Fri Nov  6 15:28:53 2020 Fold 4, Epoch 8, lr: 0.0002694, train loss: 0.05022, valid loss: 0.00925, Acc: 99.9649, AUC: 1.000000.
Fri Nov  6 15:37:46 2020 Fold 4, Epoch 9, lr: 0.0002589, train loss: 0.04275, valid loss: 0.00544, Acc: 99.9649, AUC: 1.000000.
Fri Nov  6 15:46:38 2020 Fold 4, Epoch 10, lr: 0.0002471, train loss: 0.03802, valid loss: 0.04401, Acc: 98.7698, AUC: 0.999996.
Fri Nov  6 15:55:28 2020 Fold 4, Epoch 11, lr: 0.0002342, train loss: 0.04557, valid loss: 0.00436, Acc: 99.9649, AUC: 0.999999.
Fri Nov  6 16:04:24 2020 Fold 4, Epoch 12, lr: 0.0002203, train loss: 0.03763, valid loss: 0.00424, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 16:13:31 2020 Fold 4, Epoch 13, lr: 0.0002055, train loss: 0.03342, valid loss: 0.00524, Acc: 99.8946, AUC: 0.999998.
Fri Nov  6 16:22:27 2020 Fold 4, Epoch 14, lr: 0.0001901, train loss: 0.03225, valid loss: 0.00242, Acc: 99.9297, AUC: 1.000000.
Fri Nov  6 16:31:18 2020 Fold 4, Epoch 15, lr: 0.0001743, train loss: 0.02827, valid loss: 0.00363, Acc: 99.8946, AUC: 0.999993.
Fri Nov  6 16:39:56 2020 Fold 4, Epoch 16, lr: 0.0001581, train loss: 0.02712, valid loss: 0.00732, Acc: 99.8243, AUC: 0.999997.
Fri Nov  6 16:48:25 2020 Fold 4, Epoch 17, lr: 0.0001419, train loss: 0.02366, valid loss: 0.01486, Acc: 99.6134, AUC: 1.000000.
Fri Nov  6 16:56:59 2020 Fold 4, Epoch 18, lr: 0.0001257, train loss: 0.02095, valid loss: 0.00570, Acc: 99.8594, AUC: 0.999988.
Fri Nov  6 17:05:37 2020 Fold 4, Epoch 19, lr: 0.0001099, train loss: 0.01546, valid loss: 0.00325, Acc: 99.9297, AUC: 0.999997.
Fri Nov  6 17:14:19 2020 Fold 4, Epoch 20, lr: 0.0000945, train loss: 0.01584, valid loss: 0.00172, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 17:23:02 2020 Fold 4, Epoch 21, lr: 0.0000797, train loss: 0.01762, valid loss: 0.00288, Acc: 99.9649, AUC: 1.000000.
Fri Nov  6 17:31:49 2020 Fold 4, Epoch 22, lr: 0.0000658, train loss: 0.01416, valid loss: 0.00231, Acc: 99.9649, AUC: 1.000000.
Fri Nov  6 17:40:34 2020 Fold 4, Epoch 23, lr: 0.0000529, train loss: 0.01224, valid loss: 0.00131, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 17:49:20 2020 Fold 4, Epoch 24, lr: 0.0000411, train loss: 0.01069, valid loss: 0.00154, Acc: 100.0000, AUC: 1.000000.
